,title,owner,quantity,retail,price,description,images,urls,sold
,2.1 Speakers,A,1,30,15,,http://ecx.images-amazon.com/images/I/41uoDs8ylyL.jpg,http://www.amazon.com/gp/product/B0015C30J0,
,Basketball (incl. pump),A,1,,5,,,,
,blender,A,1,,20,,,,
,camping chairs,A,3,12,5,,,,
,Car,A,1,3500,,"Honda Accord 1999
included: tape adapter, USB power adapter, smartphone windshield mount",,"http://www.amazon.com/gp/product/B002DW92IE
http://www.amazon.com/gp/product/B006SU0SX0
http://www.amazon.com/gp/product/B007CL0MS0",
,chairs,A,4,,5,,,,
,coffee tables (black),A,2,19.99,,,http://www.ikea.com/us/en/images/products/lack-coffee-table__57540_PE163122_S4.JPG,http://www.ikea.com/us/en/catalog/products/00095036/#/40104294,
,dining table,A,1,,20,,,,
,food scale,M,1,20.9,10,,,,
,iron & board,A,1,60,25,,"http://ecx.images-amazon.com/images/I/61RQdN5juFL._SL1500_.jpg
http://ecx.images-amazon.com/images/I/31XXe07AkTL._SY450_.jpg","http://www.amazon.com/gp/product/B0053XMU3E
http://www.amazon.com/gp/product/B0000TQGZO",
,kitchenware,A,a lot,,,"4 pans, 3 pots, a lot of silverware, plates, bowls, cooking utensils, cocktail shaker set, etc",,,
,folding table,A,1,,8,,,,
,lawn chairs,A,3,20,8,,,,
,toaster,A,1,,8,,,,
,TV,A,1,320,200,,,,
,Vacuum,A,1,,10,,,,
,pull out sofa,A,1,59.99,25,good for guests. 2 people can sleep on that comfortably,"http://ecx.images-amazon.com/images/I/41eGIIzu7OL.jpg
http://ecx.images-amazon.com/images/I/71ZcO5adg%2BL._SL1500_.jpg",http://www.amazon.com/gp/product/B005OHF65I,
,ATSC Stick + Antenna,M,1,67.63,25,"USB stick to receive over-the-air TV
we received around 30 channels including NBC, FOX, CBS. Good for NFL",http://ecx.images-amazon.com/images/I/41dqiGLbvDL.jpg,http://www.amazon.com/Hauppauge-1191-WinTV-HVR-950Q-Personal-Recorder/dp/B001DEYVXO,
,Headphones,M,,161.99,100,"DT 770 Pro 250ohm. Closed back, isolating (good for office use)",http://ecx.images-amazon.com/images/I/71yAY4QEjJL._SL1500_.jpg,http://www.amazon.com/Beyerdynamic-770-PRO-250-ohms/dp/B0006NL5SM,
,mattress,M,1,199.99,100,,http://www.ikea.com/us/en/images/products/sultan-hurva-spring-mattress__0146766_PE305776_S4.JPG,http://www.ikea.com/us/en/catalog/products/50219633/#/00219635,
,monitor,M,1,169.99,80,Asus VS248H-P 24-Inch Full-HD LED-lit LCD,http://ecx.images-amazon.com/images/I/81Qvsxp0nyL._SL1500_.jpg,http://www.amazon.com/gp/product/B0058UUR6E,sold
,night stand,M,1,7.99,3,,http://www.ikea.com/us/en/images/products/lack-side-table__22519_PE107398_S4.JPG,http://www.ikea.com/us/en/catalog/products/40104270/#/20011413,
,Office Chair,M,1,54.99,25,,http://ecx.images-amazon.com/images/I/61iIdbySbRL._SL1500_.jpg,http://www.amazon.com/gp/product/B004ZVHQZC/,
,Desktop PC,M,1,950$,,Intel Core i5-4670K Quad 3.4 GHZ 6 MB Cache ++ 8GB RAM (2x4) DDR3 1600Mhz ++ 128GB SSD SATA 6Gb/s ++ Gigabyte GTX 760 ++ Gigabyte Z87 LGA 1150 ++ Cooler Master eXtreme Power Plus 500w Power Supply ++,"http://ecx.images-amazon.com/images/I/71AirmwbDqL._SL1500_.jpg
http://ecx.images-amazon.com/images/I/81kavDJra5L._SL1500_.jpg
http://ecx.images-amazon.com/images/I/71CwH-bLa7L._SL1500_.jpg","http://www.amazon.com/gp/product/B00CO8TBOW/
http://www.amazon.com/gp/product/B00CU4L4XG/
http://www.amazon.com/gp/product/B00CUSUV0O
http://www.amazon.com/gp/product/B001G0WPLK
http://www.amazon.com/gp/product/B004W2JKZI
http://www.amazon.com/gp/product/B004CRSM4I
http://www.amazon.com/gp/product/B00DGM8B6O",sold
